production_date,ng_topic,amount
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,nick,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,burn,1
1/1/2019,blur,1
1/1/2019,no solder,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,no solder,1
1/1/2019,nick,1
1/1/2019,blur,1
1/1/2019,burn,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,no solder,1
1/1/2019,nick,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,no solder,1
1/1/2019,nick,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,nick,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,nick,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,burn,1
1/1/2019,incomplete,1
1/1/2019,nick,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,nick,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,no solder,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,burn,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,no solder,1
1/1/2019,no solder,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,nick,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,no solder,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,burn,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,nick,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,burn,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,no solder,1
1/1/2019,no solder,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,burn,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,short mold,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,no solder,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,no solder,1
1/1/2019,nick,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,burn,1
1/1/2019,no solder,1
1/1/2019,nick,1
1/1/2019,blur,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,short mold,1
1/1/2019,incomplete,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/1/2019,incomplete,1
1/1/2019,blur,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,burn,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,nick,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,no solder,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,nick,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,nick,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,nick,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,nick,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,nick,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,nick,1
1/2/2019,burn,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,nick,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,nick,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,burn,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,nick,1
1/2/2019,nick,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,burn,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,nick,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,burn,1
1/2/2019,blur,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,short mold,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,blur,1
1/2/2019,no solder,1
1/2/2019,incomplete,1
1/2/2019,short mold,1
1/2/2019,burn,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,nick,1
1/2/2019,short mold,1
1/2/2019,short mold,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,incomplete,1
1/2/2019,no solder,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,no solder,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,no solder,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,nick,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,burn,1
1/3/2019,blur,1
1/3/2019,burn,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,no solder,1
1/3/2019,burn,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,burn,1
1/3/2019,nick,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,no solder,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,no solder,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,no solder,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,no solder,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,burn,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,burn,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,no solder,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,no solder,1
1/3/2019,incomplete,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,no solder,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,burn,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,burn,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,burn,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,burn,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,nick,1
1/3/2019,nick,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,burn,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,no solder,1
1/3/2019,nick,1
1/3/2019,no solder,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,no solder,1
1/3/2019,nick,1
1/3/2019,incomplete,1
1/3/2019,no solder,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,blur,1
1/3/2019,blur,1
1/3/2019,no solder,1
1/3/2019,incomplete,1
1/3/2019,burn,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,short mold,1
1/3/2019,nick,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,nick,1
1/3/2019,burn,1
1/3/2019,blur,1
1/3/2019,incomplete,1
1/3/2019,incomplete,1
1/3/2019,nick,1
1/3/2019,short mold,1
1/3/2019,blur,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
1/3/2019,short mold,1
1/3/2019,incomplete,1
